"Window","Horizon","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","Window"
"Window_10","12",2.67501434428605,2.29265867556627,2.01630851016867,2.22259103225029,4.23913748661999,3.70908352988637,2.86752115564268,2.58065783901467,2.70236089279584,1.83791597326622,3.00986981497434,1.91808430952558,2.43550946076258,2.93782976858931,2.15419013687465,2.46464947512388,3.66498155333485,3.07814117911623,3.44507925980748,3.9659462524307,2.75637642834735,3.52753093421005,2.57655907950104,3.6453397483002,3.06071783278761,2.85613738927228,3.21419702601558,3.22548194591282,1.87541206393401,3.12950664263269,"Window_10"
"Window_10","Overall",2.64384548406588,1.64213914422416,1.45770366185065,2.42080274699664,3.95856271099442,1.97850349346972,2.12950888193636,2.35162164482741,2.12101030926875,1.75014811271948,2.04354902629675,1.92843287011051,1.74413784332383,1.66229860159021,2.50047660895504,2.14634908815135,2.74161680359689,2.00960805627347,2.66255323086584,3.53799249674772,2.08839179764969,2.43917586703717,1.91363282245817,2.29253410132696,2.26652992843439,1.93102887746062,3.53479414891842,1.94056146174496,1.50367668603095,3.20531747813052,"Window_10"
"Window_11","1",3.57620123341341,3.22464267111738,2.74800863552567,3.51659256315133,4.98897206411133,4.10725526240082,3.60478884447623,4.69294940399273,3.98959904756092,2.64078090710027,3.60514824940762,2.54337167525206,3.83041559744306,3.50932641619857,4.00274208267672,3.24145299816494,4.49099729729071,3.66336652159582,4.47634493966381,4.97580041144315,3.93365784107697,4.73682955454244,3.44272989529955,4.14595601645234,3.42702546435807,3.79674540710593,4.04046178675631,4.28791283401789,3.12101757796855,4.64516472921797,"Window_11"
"Window_11","3",5.10187922167265,3.67091486198133,3.0621820663002,4.33260937626475,6.90607772448395,5.66512975997184,5.27989741972631,5.38090464439111,5.33994723186078,3.53460773275272,4.91027372192629,3.44513198438588,5.05401283991926,4.25606282867246,4.47229690429819,4.09435273726425,5.93854161409809,4.49908131435573,6.13732231720266,7.18944228935791,5.53804088836461,6.39816387592542,4.39936156986536,5.54288534020903,5.05070487771499,5.01400666605782,6.29033936980759,4.81029827397036,3.37671367660835,6.48483215979349,"Window_11"
"Window_11","6",3.6525166031941,2.63118658822023,1.8904576004113,3.29433249358972,5.29580621821317,4.44055549664551,3.52562989293118,4.37166342491521,4.15730521909173,2.57422029445634,3.44861939070515,2.02118003273576,3.56025600228921,3.08390438580247,3.43733099950304,2.60588844176112,4.68669878430193,3.17604200341161,4.9558217468146,5.57357277476227,3.60293534778503,5.05978027178238,3.00030246003246,4.46021560643232,3.27154101424624,3.43392010406698,4.87044617685288,2.8973626733746,2.79671547652465,5.41034078361606,"Window_11"
"Window_11","9",3.69112912072983,3.36929546542937,3.05236582833408,4.08716186251664,4.9075565047592,4.10843356753718,2.93945513002183,5.2898893076126,3.41025289210604,2.94307462576403,2.99945497090573,2.51401694038041,3.50339173708836,3.64883561906594,4.24126200600073,3.52040543980834,5.56659206319616,3.91147031213213,4.28993884597622,5.57447369477943,3.82046145362243,4.44903382739095,3.8227135465334,3.72349425164398,3.5788896347519,3.99857150811337,3.70708425865007,4.28909375353963,3.13061042216537,4.04754543979555,"Window_11"
"Window_11","12",2.1653616159546,1.87972832913227,1.41004554894273,2.13196017977858,3.88656962115533,3.03630314036012,2.04565228405609,3.43114211543915,3.28466795104036,1.29126632907778,1.6572637225815,1.30978739999974,2.57618437628071,2.5303351407485,2.68490787265503,1.93805224535477,2.92105738761324,2.75988190501343,2.63250958234745,3.54786413108112,2.13282241155196,4.51238407136959,2.40866529945027,2.83171707973305,2.28079897927196,2.55065770123486,3.2170346323572,2.57989380600221,1.66313500983574,3.37894119439379,"Window_11"
"Window_11","Overall",2.02225212455005,1.95602947833204,1.08040812788189,2.69622499848469,3.81593427665277,1.93815905010951,1.38189113053213,2.79298210631713,2.14999192608453,1.0718082739638,1.72448332805734,1.19658923609029,1.83775945267951,1.49772814844442,2.9187202108439,1.89133441554108,2.64339577916072,2.43770744731321,1.9912672675773,3.52720906445454,2.17759659403306,2.81977982845441,1.31482593809443,1.44138077393966,1.44306536770296,1.58992100198483,1.99244541990745,1.78500274950833,1.95707498930402,2.47299863314265,"Window_11"
"Window_12","1",4.68481605716627,3.86679559314751,3.61583340151972,4.48213291570872,6.38828549383354,5.0555778228743,5.09844195130805,5.39843602195623,4.94139011153732,3.30801796010638,5.50053094533014,3.24316497595923,5.28214233223101,4.07035585407854,4.92824343153941,4.20378302317745,5.83730284328135,4.1321895502381,6.07610342140553,6.53286482478233,5.5967391866217,5.2815991660633,4.71066519639564,5.49000838590191,4.48679242383674,4.53009425796763,5.67643281642733,5.47871572354491,4.25406626374885,5.72336631191485,"Window_12"
"Window_12","3",6.71998444305203,5.79598753504404,4.50617257022818,5.42861877632127,8.63262106710612,6.33307870431668,6.75736774082848,7.55657387126577,6.0305999132996,4.35908184964883,8.14608165831918,5.01468924209277,6.07783567314238,5.76878747514725,6.12738931062115,6.09366556780652,8.4871329283218,5.79470102144615,7.14006053998084,8.84230938814658,8.36121748631595,7.89150086337878,6.31320432940485,6.81423689460151,6.87994104094102,6.93179268531426,7.24611674983049,7.10665960673759,4.29557516408238,7.28427255440537,"Window_12"
